,release_date,title
2619,1986-11-26,The Mosquito Coast
2620,1986-12-12,The Golden Child
2621,1986-01-01,Brighton Beach Memoirs
2622,1987-01-09,Assassination
2623,1986-12-12,Crimes of the Heart
2624,1985-12-18,The Color Purple
2625,1987-01-09,The Kindred
2626,1986-12-19,No Mercy
2627,1986-04-23,Ménage
2628,1986-12-24,Native Son
2629,1986-12-17,Otello
2630,1986-09-29,The Mission
2631,1986-12-19,Little Shop of Horrors
2632,1960-09-14,The Little Shop of Horrors
2633,1986-12-17,Allan Quatermain and the Lost City of Gold
2634,1986-12-25,The Morning After
2635,1987-01-30,Radio Days
2636,1987-02-06,From the Hip
2637,1987-01-30,Outrageous Fortune
2638,1987-01-16,The Bedroom Window
2639,1986-04-13,Deadtime Stories
2640,1987-02-06,Light of Day
2641,1987-01-16,Wanted: Dead or Alive
2642,1982-12-03,Frances
2643,1985-09-20,Plenty
2644,1999-08-04,Dick
2645,1997-10-30,The Gambler
2646,1999-08-06,The Iron Giant
2647,1999-08-06,The Sixth Sense
2648,1999-08-06,The Thomas Crown Affair
2649,1968-06-19,The Thomas Crown Affair
2650,1998-07-02,The Acid House
2651,1998-09-11,The Adventures of Sebastian Cole
2652,1998-05-21,Illuminata
2653,1998-06-12,Stiff Upper Lips
2654,2000-04-27,The Yards
2655,1999-08-12,Bowfinger
2656,1999-08-13,Brokedown Palace
2657,1999-08-13,Detroit Rock City
2658,1998-10-23,Alice and Martin
2659,1999-02-14,Better Than Chocolate
2660,1998-08-13,Head On
2661,1997-08-29,Marcello Mastroianni: I Remember
2662,1925-01-02,Cobra
2663,1995-10-20,Never Talk to Strangers
2664,1978-06-28,Heaven Can Wait
2665,1963-01-25,The Raven
2666,1959-07-29,The Tingler
2667,1961-08-12,The Pit and the Pendulum
2668,1964-11-01,The Tomb of Ligeia
2669,1964-06-24,The Masque of the Red Death
2670,1962-07-04,Tales of Terror
2671,1986-07-25,Haunted Honeymoon
2672,1985-04-12,Cat's Eye
2673,1971-09-28,And Now for Something Completely Different
2674,1978-06-09,Damien: Omen II
2675,1981-03-20,Omen III: The Final Conflict
2676,1980-07-02,Airplane!
2677,1982-12-10,Airplane II: The Sequel
2678,1997-12-25,An American Werewolf in Paris
2679,1985-07-25,National Lampoon’s European Vacation
2680,1983-07-28,National Lampoon's Vacation
2681,1988-06-03,Funny Farm
2682,1988-06-03,Big
2683,1990-07-27,Problem Child
2684,1991-07-03,Problem Child 2
2685,1989-07-15,Little Nemo: Adventures In Slumberland
2686,1997-12-31,Oscar and Lucinda
2687,1988-12-02,Tequila Sunrise
2688,1993-12-16,The Pelican Brief
2689,1983-11-18,A Christmas Story
2690,1999-08-16,Mickey Blue Eyes
2691,1999-08-11,Teaching Mrs. Tingle
2692,1999-08-05,Universal Soldier: The Return
2693,1992-07-10,Universal Soldier
2694,1999-09-10,Love Stinks
2695,1997-07-11,Perfect Blue
2696,1998-09-10,With Friends Like These...
2697,1999-08-25,In Too Deep
2698,1999-01-01,The Source
2699,1959-08-09,The Bat
2700,1986-01-17,Iron Eagle
2701,1988-11-11,Iron Eagle II
2702,1992-01-09,Iron Eagle III
2703,1995-01-01,Iron Eagle IV
2704,1975-09-24,Three Days of the Condor
2705,1964-09-23,Hamlet from the Lunt-Fontanne Theatre
2706,1919-11-23,Male and Female
2707,1992-02-07,Medicine Man
2708,1919-10-03,The Spiders - The Golden Sea
2709,1999-01-01,On the Ropes
2710,1998-11-18,Rosie
2711,1999-08-27,The 13th Warrior
2712,1999-08-26,The Astronaut's Wife
2713,1999-08-27,Dudley Do-Right
2714,1999-08-27,The Muse
2715,1998-08-01,Cabaret Balkan
2716,1999-08-27,A Dog Of Flanders
2717,1999-06-25,The Lost Son
2718,1997-02-26,Lucie Aubrac
2719,1998-05-08,The Very Thought of You
2720,1999-09-01,Chill Factor
2721,1999-08-16,Outside Providence
2722,1998-08-01,Bedrooms and Hallways
2723,1998-09-13,I Woke Up Early The Day I Died
2724,1998-09-01,West Beyrouth
2725,1999-09-10,Stigmata
2726,1999-09-10,Stir of Echoes
2727,1999-04-09,Best Laid Plans
2728,1998-06-01,"Black Cat, White Cat"
2729,1999-02-25,The Minus Man
2730,1999-09-10,Whiteboyz
2731,1986-06-27,The Adventures of Milo and Otis
2732,1939-05-15,Only Angels Have Wings
2733,1951-11-27,Othello
2734,1991-02-01,Queens Logic
2735,1993-01-01,Public Access
2736,1984-09-14,A Soldier's Story
2737,1976-11-13,Alice Sweet Alice
2738,1973-09-01,Don't Look in the Basement
2739,1983-09-02,Nightmares
2740,1965-07-21,I Saw What You Did
2741,1968-07-17,Yellow Submarine
2742,1999-09-15,American Beauty
2743,1984-11-16,Stop Making Sense
2744,1999-09-17,Blue Streak
2745,1999-09-17,For Love of the Game
2746,1979-01-21,Caligula
2747,1964-07-06,A Hard Day's Night
2748,1999-01-29,Splendor
2749,1999-09-17,Sugar Town
2750,1978-05-18,The Buddy Holly Story
2751,1985-08-02,Fright Night
2752,1988-04-07,Fright Night Part 2
2753,1994-11-09,La séparation
2754,1967-05-25,Barefoot in the Park
2755,1972-07-30,Deliverance
2756,1981-04-10,Excalibur
2757,1998-09-06,Lulu on the Bridge
2758,1957-08-29,The Pajama Game
2759,1993-02-05,Sommersby
2760,1994-03-30,Thumbelina
2761,1975-03-19,Tommy
2762,1981-08-28,Hell Night
2763,1991-02-07,Armour of God II: Operation Condor
2764,1986-08-16,Armour of God
2765,1999-09-24,Double Jeopardy
2766,1999-09-16,Jakob the Liar
2767,1999-09-24,Mumford
2768,1998-09-14,Dog Park
2769,1999-09-04,Guinevere
2770,1999-10-01,The Adventures of Elmo in Grouchland
2771,1999-01-01,Simon Sez
2772,1999-10-01,Drive Me Crazy
2773,1999-10-01,"Mystery, Alaska"
2774,1999-09-27,Three Kings
2775,1999-12-03,"Happy, Texas"
2776,1998-09-05,New Rose Hotel
2777,1999-01-22,Plunkett & MacLeane
2778,2012-10-09,Romance
2779,1972-07-05,Napoleon and Samantha
2780,1966-10-01,Alvarez Kelly
2781,1983-10-06,And the Ship Sails On
2782,1993-04-23,The Dark Half
2783,1939-11-10,Gulliver's Travels
2784,1988-07-29,Monkey Shines
2785,1979-03-28,Phantasm
2786,1983-06-03,Psycho II
2787,1986-06-27,Psycho III
2788,1932-10-12,Rain
2789,1962-01-01,Sanjuro
2790,1999-10-08,Random Hearts
2791,1999-10-08,Superstar
2792,1999-09-02,Boys Don't Cry
2793,1999-10-08,"Five Wives, Three Secretaries and Me"
2794,1998-11-14,L'ennui
2795,1998-10-16,The Grandfather
2796,1999-05-15,The Limey
2797,1999-09-03,The Mating Habits of the Earthbound Human
2798,1999-10-22,Molly
2799,1983-08-05,Risky Business
2800,1990-06-01,Total Recall
2801,1981-08-28,Body Heat
2802,1986-06-11,Ferris Bueller's Day Off
2803,1982-12-17,The Year of Living Dangerously
2804,1945-03-15,Children of Paradise
2805,1973-04-19,High Plains Drifter
2806,1968-07-31,Hang 'em High
2807,1977-09-29,Citizen's Band
2808,1978-10-05,Drunken Master
2809,1970-10-21,The Conformist
2810,1988-02-16,Hairspray
2811,1945-11-24,Brief Encounter
2812,1984-10-19,The Razor's Edge
2813,1981-12-25,Reds
2814,1999-06-11,Return with Honor
2815,1988-12-21,Time of the Gypsies
2816,1978-09-13,Days of Heaven
2817,1963-10-14,The Fire Within
2818,1986-03-23,El Amor Brujo
2819,1941-02-25,The Lady Eve
2820,1941-11-30,Sullivan's Travels
2821,1942-11-07,The Palm Beach Story
2822,1986-09-09,Man Facing Southeast
2823,1953-01-26,Niagara
2824,1946-02-14,Gilda
2825,1958-03-18,South Pacific
2826,1983-04-14,Flashdance
2827,1992-04-15,Indochine
2828,1967-06-15,The Dirty Dozen
2829,1984-03-09,Mike's Murder
2830,1965-07-29,Help!
2831,1964-09-17,Goldfinger
2832,1963-10-11,From Russia with Love
2833,1962-10-04,Dr. No
2834,1980-07-05,The Blue Lagoon
2835,1964-09-12,A Fistful of Dollars
2836,1996-02-28,Hard Eight
2837,1992-11-19,Home Alone 2: Lost in New York
2838,1979-12-01,Penitentiary
2839,1982-04-02,Penitentiary II
2840,1987-10-09,Someone to Watch Over Me
2841,1926-05-14,Sparrows
2842,1999-10-08,Naturally Native
2843,1999-10-15,Fight Club
2844,1998-09-01,Beefcake
2845,1999-10-13,The Story of Us
2846,1997-04-04,Fever Pitch
2847,1999-10-17,Joe the King
2848,1999-09-07,Julien Donkey-Boy
2849,1999-10-15,The Omega Code
2850,1999-10-15,The Straight Story
2851,1956-09-12,The Bad Seed
2852,1981-07-13,Time Bandits
2853,1966-01-01,A Man and a Woman
2854,1982-03-04,Fitzcarraldo
2855,1979-12-20,All That Jazz
2856,1987-01-01,Red Sorghum
2857,1989-10-13,Crimes and Misdemeanors
2858,1999-10-22,Bats
2859,1999-10-22,The Best Man
2860,1999-10-22,Bringing Out the Dead
2861,1999-10-22,Crazy in Alabama
2862,1999-10-22,Three to Tango
2863,1999-10-07,Body Shots
2864,1998-10-08,Men Cry Bullets
2865,1975-08-06,Brother Can You Spare A Dime
2866,1990-04-27,The Guardian
2867,1965-03-18,The Ipcress File
2868,1971-07-28,On Any Sunday
2869,1987-07-17,RoboCop
2870,1990-06-22,RoboCop 2
2871,1988-06-21,Who Framed Roger Rabbit
2872,1980-09-19,Melvin and Howard
2873,1981-06-23,For Your Eyes Only
2874,1989-07-07,Licence to Kill
2875,1973-07-05,Live and Let Die
2876,1986-10-01,Rawhead Rex
2877,1965-12-16,Thunderball
2878,1999-10-22,The City
2879,1999-10-29,House on Haunted Hill
2880,1999-10-29,Music of the Heart
2881,1999-09-30,Being John Malkovich
2882,1999-10-29,Dreaming of Joseph Lees
2883,1999-10-29,Man Of The Century
2884,1997-07-12,Princess Mononoke
2885,1999-10-29,The Suburbans
2886,1999-05-17,My Best Fiend
2887,1998-09-16,Train of Life
2888,1999-11-05,The Bachelor
2889,1999-11-04,The Bone Collector
2890,1999-10-28,The Insider
2891,1999-11-05,American Movie
2892,1998-10-23,Last Night
2893,1996-09-12,Portraits Chinois
2894,1999-05-23,Rosetta
2895,1969-12-10,"They Shoot Horses, Don't They?"
2896,1926-09-19,Battling Butler
2897,1989-10-01,Bride of Re-Animator
2898,1981-05-22,Bustin' Loose
2899,1978-01-06,Coma
2900,1982-11-12,Creepshow
2901,1987-05-01,Creepshow 2
2902,1985-10-18,Re-Animator
2903,1989-09-09,Drugstore Cowboy
2904,1993-02-26,Falling Down
2905,1981-03-13,The Funhouse
2906,1926-12-31,The General
2907,1927-10-31,My Best Girl
2908,1978-08-03,Piranha
2909,1967-01-01,Rough Night in Jericho
2910,1987-08-28,Slaughterhouse
2911,1967-03-07,The Taming of the Shrew
2912,1981-03-17,Nighthawks
2913,1961-04-25,Yojimbo
2914,1990-09-14,Repossessed
2915,1971-08-01,The Omega Man
2916,1987-06-24,Spaceballs
2917,1973-11-08,Robin Hood
2918,1955-07-13,Mister Roberts
2919,1981-12-15,Quest for Fire
2920,1970-12-14,Little Big Man
2921,1957-10-17,A Face in the Crowd
2922,1983-06-07,Trading Places
2923,1979-06-28,Meatballs
2924,1984-07-27,Meatballs Part II
2925,1986-10-26,Meatballs III: Summer Job
2926,1992-03-06,Meatballs 4
2927,1991-08-23,Dead Again
2928,1992-09-18,Peter's Friends
2929,1995-06-16,The Incredibly True Adventure of Two Girls In Love
2930,1982-12-22,Experience Preferred...But Not Essential
2931,1981-07-31,Under the Rainbow
2932,1967-10-23,How I Won the War
2933,1999-11-04,Light It Up
2934,1999-11-12,Anywhere But Here
2935,1999-11-12,Dogma
2936,1999-10-18,The Messenger: The Story of Joan of Arc
2937,1998-07-18,Pokémon: The First Movie: Mewtwo Strikes Back
2938,1999-11-24,Felicia's Journey
2939,1999-11-12,Oxygen
2940,1998-01-01,Where's Marlowe?
2941,1940-09-30,The Ape
2942,1940-01-29,British Intelligence
2943,1991-08-14,The Commitments
2944,1942-08-04,Holiday Inn
2945,1962-09-25,The Longest Day
2946,1992-05-08,Poison Ivy
2947,1997-01-01,Poison Ivy: The New Seduction
2948,1995-04-09,Ten Benny
2949,1970-01-26,Tora! Tora! Tora!
2950,1988-03-14,Women on the Verge of a Nervous Breakdown
2951,1982-12-08,The Verdict
2952,1972-12-20,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
2953,1984-08-15,The Adventures of Buckaroo Banzai Across the 8th Dimension
2954,1988-03-11,Stand and Deliver
2955,1987-12-18,Moonstruck
2956,1965-06-23,The Sandpiper
2957,1972-09-10,Jeremiah Johnson
2958,1965-06-01,Repulsion
2959,1963-06-04,Irma la Douce
2960,1998-07-28,42 Up
2961,1999-11-17,Liberty Heights
2962,1999-11-12,Mansfield Park
2963,1998-11-17,"Goodbye, 20th Century"
2964,1999-11-18,Sleepy Hollow
2965,1999-11-08,The World Is Not Enough
2966,1999-04-19,All About My Mother
2967,1998-10-14,Home Page
2968,1982-10-23,The Living Dead Girl
2969,1934-12-14,Babes in Toyland
2970,1988-11-22,Scrooged
2971,1950-10-13,Harvey
2972,1948-11-24,Bicycle Thieves
2973,1987-08-28,Matewan
2974,1980-04-26,Kagemusha
2975,1962-11-03,47 Samurai
2976,1971-06-24,McCabe & Mrs. Miller
2977,1987-09-18,Maurice
2978,1940-03-15,The Grapes of Wrath
2979,1957-10-11,My Man Godfrey
2980,1940-01-11,The Shop Around the Corner
2981,1984-05-11,The Natural
2982,1975-03-13,Shampoo
2983,1992-10-09,A River Runs Through It
2984,1987-09-11,Fatal Attraction
2985,1985-10-04,Jagged Edge
2986,1990-02-09,Stanley & Iris
2987,1988-07-20,Midnight Run
2988,1990-12-19,Awakenings
2989,1990-08-17,Come See the Paradise
2990,1991-05-24,Backdraft
2991,1991-09-09,The Fisher King
2992,1984-12-01,The River
2993,1984-09-29,Country
2994,1984-09-11,Places in the Heart
2995,1986-09-12,"'night, Mother"
2996,1999-11-24,End of Days
2997,1999-10-30,Toy Story 2
2998,1999-11-26,Flawless
2999,1999-09-12,Miss Julie
3000,1999-11-24,Ride with the Devil
3001,1999-11-28,Tumbleweeds
3002,1971-08-08,A Bay of Blood
3003,1992-12-04,The Distinguished Gentleman
3004,1953-10-16,The Hitch-Hiker
3005,1940-12-13,Santa Fe Trail
3006,1989-01-01,Lauderdale
3007,1999-11-08,Agnes Browne
3008,1999-12-03,The End of the Affair
3009,1955-02-23,The End of the Affair
3010,1999-09-04,Holy Smoke!
3011,1999-09-13,A Map of the World
3012,1999-12-03,Sweet and Lowdown
3013,1990-12-21,The Bonfire of the Vanities
3014,1997-08-26,Broadway Damage
3015,1919-05-11,Daddy-Long-Legs
3016,1925-11-01,Go West
3017,1937-06-04,Grand Illusion
3018,1979-10-26,The Great Santini
3019,1957-08-13,The James Dean Story
3020,1980-07-03,The Sea Wolves
3021,1988-08-26,Stealing Home
3022,1933-08-11,Tarzan the Fearless
3023,1923-09-24,Three Ages
3024,1990-08-10,The Two Jakes
3025,1988-11-04,U2: Rattle and Hum
3026,1968-12-19,Hell in the Pacific
3027,1966-06-09,The Glass Bottom Boat
3028,1999-12-10,Cradle Will Rock
3029,1999-12-10,Deuce Bigalow: Male Gigolo
3030,1999-12-10,The Green Mile
3031,1999-12-17,The Cider House Rules
3032,1999-12-10,Diamonds
3033,1999-06-11,The War Zone
3034,1930-01-01,The Bat Whispers
3035,1971-10-03,The Last Picture Show
3036,1958-12-05,The 7th Voyage of Sinbad
3037,1945-04-26,Blood on the Sun
3038,1999-12-16,Anna and the King
3039,1999-12-17,Bicentennial Man
3040,1999-12-17,Stuart Little
3041,1998-10-08,The Emperor and the Assassin
3042,1999-12-17,Fantasia 2000
3043,1999-12-08,Magnolia
3044,1999-12-22,Onegin
3045,1999-09-15,Simpatico
3046,1999-09-03,Topsy-Turvy
3047,1966-09-12,The Alley Cats
3048,1993-04-16,Boiling Point
3049,1989-05-15,Brenda Starr
3050,1971-10-21,Carnal Knowledge
3051,1969-05-07,Easy Rider
3052,1985-01-25,The Falcon and the Snowman
3053,1940-04-10,Hi-Yo Silver
3054,1959-01-22,Room at the Top
3055,1954-10-06,Ulysses
3056,1999-12-16,Any Given Sunday
3057,1999-12-22,Man on the Moon
3058,1999-12-23,Galaxy Quest
3059,1999-12-25,The Talented Mr. Ripley
3060,2000-01-12,Next Friday
3061,1999-09-17,The Hurricane
3062,1999-12-25,Angela's Ashes
3063,1999-12-25,Play It to the Bone
3064,1999-12-25,Titus
3065,1999-12-29,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr."
3066,1999-09-13,The Third Miracle
3067,1998-01-01,Montana
3068,1999-12-22,Snow Falling on Cedars
3069,1999-12-21,"Girl, Interrupted"
3070,1998-09-11,Trans
3071,2000-01-12,The Life and Times of Hank Greenberg
3072,2000-01-14,My Dog Skip
3073,2000-01-14,Supernova
3074,1998-09-09,The Quarry
3075,1998-09-12,The Terrorist
3076,1973-10-17,The Way We Were
3077,1922-11-12,Tess of the Storm Country
3078,1953-05-29,Stalag 17
3079,1988-06-10,The Presidio
3080,1973-12-13,Papillon
3081,1957-10-25,Pal Joey
3082,1973-12-11,The Last Detail
3083,1970-09-12,Five Easy Pieces
3084,1970-09-16,Even Dwarfs Started Small
3085,1989-04-07,Dead Calm
3086,1978-10-05,The Boys from Brazil
3087,1960-08-11,Black Sunday
3088,1984-03-02,Against All Odds
3089,1952-08-18,The Snows of Kilimanjaro
3090,1993-02-04,National Lampoon's Loaded Weapon 1
3091,1948-08-23,The Loves of Carmen
3092,1982-08-13,Fast Times at Ridgemont High
3093,1988-11-11,A Cry in the Dark
3094,1971-12-01,Born to Win
3095,1993-12-25,Batman: Mask of the Phantasm
3096,1985-08-16,American Flyers
3097,1976-12-22,Voyage of the Damned
3098,1971-07-15,Vampyros Lesbos
3099,1937-04-27,A Star Is Born
3100,1991-04-05,Poison
3101,1990-09-28,Pacific Heights
3102,1961-08-15,Night Tide
3103,1982-10-02,The Draughtsman's Contract
3104,1984-03-14,Carmen
3105,1985-10-04,A Zed & Two Noughts
3106,1964-02-15,Woman in the Dunes
3107,2000-01-21,Down to You
3108,2000-02-28,Hellhounds on My Trail: The Afterlife of Robert Johnson
3109,1996-11-15,"Not Love, Just Frenzy"
3110,2000-01-21,Wirey Spindell
3111,1951-11-20,Another Man's Poison
3112,1974-10-17,The Odessa File
3113,1920-09-01,The Saphead
3114,1925-03-11,Seven Chances
3115,1967-12-20,Smashing Time
3116,1975-10-01,Train Ride to Hollywood
3117,1980-04-25,Where the Buffalo Roam
3118,1971-01-12,Zachariah
3119,1998-12-25,Kestrel's Eye
3120,1999-09-04,Eye of the Beholder
3121,2000-01-28,Isn't She Great
3122,1999-01-01,The Big Tease
3123,1999-08-29,The Cup
3124,1999-01-23,Santitos
3125,1992-05-22,Encino Man
3126,1977-11-30,The Goodbye Girl
3127,1964-09-06,I Am Cuba
3128,1992-11-18,Malcolm X
3129,1992-05-28,Sister Act
3130,1993-12-09,Sister Act 2: Back in the Habit
3131,1992-01-10,The Hand that Rocks the Cradle
3132,1993-01-15,Alive
3133,1985-08-21,Agnes of God
3134,1992-12-23,Scent of a Woman
3135,1992-02-14,Wayne's World
3136,1993-12-10,Wayne's World 2
3137,1992-07-01,A League of Their Own
3138,1992-06-04,Patriot Games
3139,1992-11-25,The Bodyguard
3140,1992-07-30,Death Becomes Her
3141,1992-05-22,Far and Away
3142,1992-03-13,Howards End
3143,1992-09-18,Singles
3144,1992-06-03,Twin Peaks: Fire Walk with Me
3145,1992-03-26,White Men Can't Jump
3146,1992-07-24,Buffy the Vampire Slayer
3147,1992-04-16,Hard Boiled
3148,1992-05-01,Man Bites Dog
3149,1992-09-04,El Mariachi
3150,1992-02-21,Stop! Or My Mom Will Shoot
3151,1992-12-16,Forever Young
3152,1992-03-27,The Cutting Edge
3153,1992-09-16,Of Mice and Men
3154,1992-09-16,Bad Lieutenant
3155,2000-02-03,Scream 3
3156,1992-08-14,Single White Female
3157,1999-01-22,The Boondock Saints
3158,2000-02-04,Gun Shy
3159,1999-01-29,Beloved/Friend
3160,1999-06-12,Gendernauts: A Journey Through Shifting Identities
3161,2000-02-04,Knockout
3162,1973-03-01,The Baby
3163,1998-09-23,The Brandon Teena Story
3164,1996-10-01,Different for Girls
3165,1971-12-22,Minnie and Moskowitz
3166,1971-06-09,They Might Be Giants
3167,2000-02-11,The Beach
3168,2000-02-11,Snow Day
3169,2000-02-11,The Tigger Movie
3170,1999-01-01,Cotton Mary
3171,1999-09-07,Not One Less
3172,1999-12-03,Soft Toilet Seats
3173,2000-02-11,Trois
3174,1955-02-15,The Big Combo
3175,1999-02-19,Conceiving Ada
3176,1976-12-25,Eaten Alive
3177,1993-09-09,Raining Stones
3178,1967-06-14,"To Sir, with Love"
3179,1930-06-28,With Byrd at the South Pole
3180,2000-02-18,Boiler Room
3181,2000-02-16,Hanging Up
3182,2000-02-18,Pitch Black
3183,2000-02-18,The Whole Nine Yards
3184,1999-09-16,Beautiful People
3185,2000-03-17,Black Tar Heroin: The Dark End of the Street
3186,1978-02-10,Blue Collar
3187,1944-11-11,Bluebeard
3188,1928-01-06,The Circus
3189,1931-01-30,City Lights
3190,1984-12-21,The Flamingo Kid
3191,1918-04-14,A Dog's Life
3192,1921-01-21,The Kid
3193,1955-08-31,The Man from Laramie
3194,1975-05-21,The Wild McCullochs
3195,1982-10-29,Class Reunion
3196,1952-02-05,The Big Trees
3197,1951-03-06,Happy Go Lovely
3198,2000-02-25,Reindeer Games
3199,2000-02-22,Wonder Boys
3200,2000-03-10,Deterrence
3201,1999-01-01,Judy Berlin
3202,1999-03-12,Mifune
3203,1999-03-25,The Waiting Game
3204,2000-03-01,3 Strikes
3205,2000-09-22,Chain of Fools
3206,2000-03-03,Drowning Mona
3207,2000-03-03,The Next Best Thing
3208,2000-03-03,What Planet Are You From?
3209,1999-10-22,Beyond the Mat
3210,1999-09-13,Ghost Dog: The Way of the Samurai
3211,1987-01-01,The Year My Voice Broke
3212,1961-10-10,Splendor in the Grass
3213,1983-03-04,My Tutor
3214,1962-11-07,The Legend of Lobo
3215,1968-09-01,The Killing of Sister George
3216,1948-07-31,Key Largo
3217,1954-01-01,Jail Bait
3218,1966-05-01,It Happened Here
3219,1967-12-18,I'll Never Forget What's'isname
3220,1989-01-01,For All Mankind
3221,1977-01-29,Cross of Iron
3222,1955-05-11,Bride of the Monster
3223,1950-12-25,Born Yesterday
3224,1984-12-14,Birdy
3225,1988-03-04,And God Created Woman
3226,1963-06-06,Blood Feast
3227,1967-10-18,"Charlie, the Lonesome Cougar"
3228,1965-10-13,Color Me Blood Red
3229,1983-10-07,Never Cry Wolf
3230,1971-01-01,The Night Visitor
3231,1947-07-04,The Perils of Pauline
3232,1961-05-28,A Raisin in the Sun
3233,1964-03-20,Two Thousand Maniacs!
3234,1998-11-01,Brown's Requiem
3235,2000-12-27,The Closer You Get
3236,2000-03-10,Mission to Mars
3237,1999-08-24,The Ninth Gate
3238,2000-03-17,Condo Painting
3239,1999-09-01,East/West
3240,1991-03-22,Defending Your Life
3241,1979-05-24,Breaking Away
3242,1986-11-14,Hoosiers
3243,1988-06-15,Bull Durham
3244,1975-08-11,Dog Day Afternoon
3245,1973-08-01,American Graffiti
3246,1950-05-22,The Asphalt Jungle
3247,1956-03-13,The Searchers
3248,1968-05-15,The Devil's Brigade
3249,1958-09-30,The Big Country
3250,1963-03-19,Any Number Can Win
3251,1988-08-26,Betrayed
3252,1976-12-05,Bound for Glory
3253,1969-06-25,The Bridge at Remagen
3254,1972-03-17,Buck and the Preacher
3255,1991-09-10,Daughters of the Dust
3256,1950-06-26,Destination Moon
3257,1942-07-10,The Fantastic Night
3258,1943-04-15,Hangmen Also Die!
3259,1996-01-01,The Ogre
3260,1959-12-16,On the Beach
3261,1947-09-25,Railroaded!
3262,1997-11-14,Slaves to the Underground
3263,1936-08-16,Song of Freedom
3264,1937-07-17,Big Fella
3265,1974-10-02,The Taking of Pelham One Two Three
3266,1985-08-16,Volunteers
3267,1991-12-20,JFK
3268,1989-02-03,Who's Harry Crumb?
3269,1987-06-05,Harry and the Hendersons
3270,1986-01-01,Let's Get Harry
3271,1986-08-29,Shanghai Surprise
3272,1987-08-07,Who's That Girl
3273,1989-12-08,She-Devil
3274,1987-11-20,Date With an Angel
3275,1987-03-27,Blind Date
3276,1987-08-07,Nadine
3277,1979-05-31,The Muppet Movie
3278,1981-06-26,The Great Muppet Caper
3279,1984-07-13,The Muppets Take Manhattan
3280,1985-08-02,Sesame Street Presents Follow That Bird
3281,1993-11-24,We're Back! A Dinosaur's Story
3282,1985-03-22,Baby: Secret of the Lost Legend
3283,1985-09-10,Turtle Diary
3284,1980-01-01,Raise the Titanic
3285,1953-04-11,Titanic
3286,1958-12-16,A Night to Remember
3287,1951-04-10,Captain Horatio Hornblower R.N.
3288,1999-05-19,The Carriers Are Waiting
3289,2000-03-17,Erin Brockovich
3290,2000-03-16,Final Destination
3291,1999-10-28,Soft Fruit
3292,1998-09-11,Babymother
3293,1988-10-21,The Bear
3294,1949-03-20,Impact
3295,1955-08-18,Love Is a Many-Splendored Thing
3296,1975-03-07,Mirror
3297,1952-09-27,The Crimson Pirate
3298,1991-05-24,Thelma & Louise
3299,1970-07-22,Something For Everyone
3300,1979-10-19,...And Justice for All
3301,1978-07-27,Animal House
3302,1986-08-08,She's Gotta Have It
3303,1988-02-12,School Daze
3304,1989-06-30,Do the Right Thing
3305,1990-08-03,Mo' Better Blues
3306,1991-06-07,Jungle Fever
3307,1968-10-02,Coogan's Bluff
3308,1979-07-10,The Champ
3309,1989-07-15,Creature Comforts
3310,1974-07-24,Death Wish
3311,1982-02-20,Death Wish 2
3312,1985-11-01,Death Wish 3
3313,1987-06-11,Death Wish 4: The Crackdown
3314,1994-01-14,Death Wish 5: The Face of Death
3315,1944-04-24,Double Indemnity
3316,1991-06-20,Dying Young
3317,1991-10-18,Cool as Ice
3318,1990-03-30,Teenage Mutant Ninja Turtles
3319,1991-03-22,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
3320,1993-03-17,Teenage Mutant Ninja Turtles III
3321,1984-08-10,Red Dawn
3322,1986-04-11,Band of the Hand
3323,1986-08-30,Born American
3324,1988-02-26,Bloodsport
3325,1978-08-02,Eyes of Laura Mars
3326,1995-09-20,Funny Bones
3327,1937-08-06,The Good Earth
3328,1987-12-23,"Good Morning, Vietnam"
3329,1988-11-04,The Good Mother
3330,1993-12-25,Grumpy Old Men
3331,1967-12-11,Guess Who's Coming to Dinner
3332,2000-03-20,Romeo Must Die
3333,2000-03-23,Here On Earth
3334,2000-03-31,Whatever It Takes
3335,1999-09-05,Buddy Boy
3336,1999-02-08,The Color of Paradise
3337,2000-03-23,Waking the Dead
3338,1989-09-22,Blood and Sand
3339,1986-11-30,Gothic
3340,1967-05-01,Hillbillys in a Haunted House
3341,1963-08-13,Lord of the Flies
3342,1936-02-05,Modern Times
3343,1994-04-29,National Lampoon's Last Resort
3344,1990-07-14,Solar Crisis
3345,1986-10-10,That's Life!
3346,1993-08-13,Heart and Souls
3347,1963-05-29,Hud
3348,1961-09-25,The Hustler
3349,1960-06-24,Inherit the Wind
3350,1975-08-02,Dersu Uzala
3351,1977-11-16,Close Encounters of the Third Kind
3352,1960-09-09,The City of the Dead
3353,1976-01-01,Jonah Who Will Be 25 in the Year 2000
3354,1997-01-01,Retroactive
3355,1951-06-12,A Place in the Sun
3356,1990-11-02,Jacob's Ladder
3357,1995-09-22,Empire Records
3358,1987-07-24,La Bamba
3359,1985-03-27,Ladyhawke
3360,1986-03-28,Lucas
3361,2000-03-17,High Fidelity
3362,2000-03-31,The Road to El Dorado
3363,2000-03-31,The Skulls
3364,1975-01-18,Autopsy
3365,1954-05-01,Devil Girl from Mars
