title,release_year,vote_average,vote_count
The Thief of Bagdad,1940,7.5,49.0
War and Peace,1956,6.8,50.0
Where Sleeping Dogs Lie,1991,3.0,2.0
Where’s Poppa?,1970,6.9,11.0
The Whistle Blower,1986,6.1,13.0
Attack of the Crab Monsters,1957,4.9,16.0
Black Christmas,1974,6.8,133.0
The Day of the Triffids,1962,6.1,55.0
Esther Kahn,2000,5.0,1.0
Invaders from Mars,1953,6.0,51.0
The Story of O,1975,5.7,40.0
Asoka,2001,5.8,28.0
Fat City,1972,7.0,29.0
"Love, Honour and Obey",2000,6.6,23.0
Quicksilver,1986,5.5,24.0
Catch Me If You Can,2002,7.7,3917.0
Pinocchio,2002,5.6,144.0
Chicago,2002,6.9,695.0
The Hours,2002,7.0,461.0
Max,2002,6.2,39.0
Nicholas Nickleby,2002,6.8,50.0
The Pianist,2002,8.1,1927.0
Sonny,2002,5.0,15.0
Champagne For Caesar,1950,6.8,6.0
Doppelganger,1993,4.4,19.0
Heavy Metal 2000,2000,5.2,38.0
House on the Edge of the Park,1980,5.8,24.0
The King of Comedy,1982,7.6,306.0
Love Liza,2002,6.5,25.0
Confessions of a Dangerous Mind,2002,6.6,281.0
Abraham's Valley,1993,7.0,4.0
Blue Collar Comedy Tour: The Movie,2003,6.0,16.0
Just Married,2003,5.3,415.0
P.S. Your Cat Is Dead!,2002,4.2,3.0
The Son,2002,6.5,34.0
The City of Lost Souls,2000,6.6,9.0
Double Whammy,2001,5.6,18.0
WiseGirls,2002,5.0,8.0
A Guy Thing,2003,5.3,85.0
Kangaroo Jack,2003,4.3,207.0
National Security,2003,5.5,244.0
Big Shot's Funeral,2001,5.7,10.0
City of God,2002,8.2,1852.0
Kira's Reason: A Love Story,2001,4.9,4.0
Above Suspicion,1995,6.8,11.0
Alice Adams,1935,5.0,9.0
The American Friend,1977,7.0,70.0
American Me,1992,7.3,41.0
Band of Outsiders,1964,7.5,103.0
Breaking Up,1997,4.0,9.0
CB4,1993,6.2,43.0
The Deathmaker,1995,6.6,12.0
Dogfight,1991,6.6,29.0
"Easy Come, Easy Go",1967,6.0,11.0
Fun in Acapulco,1963,5.8,15.0
Girls! Girls! Girls!,1962,5.6,13.0
Imitation of Life,1959,7.2,62.0
A Little Romance,1979,7.5,11.0
Mystery Date,1991,5.5,12.0
"Paradise, Hawaiian Style",1966,4.8,12.0
Pépé le Moko,1937,7.6,21.0
Secret Admirer,1985,6.7,30.0
Summer Lovers,1982,5.4,19.0
Tune in Tomorrow...,1990,5.0,3.0
The Woman in Red,1984,5.6,101.0
Darkness Falls,2003,4.9,161.0
Amen.,2002,7.1,75.0
Blind Spot: Hitler's Secretary,2002,6.0,6.0
In the Mirror of Maya Deren,2002,7.7,8.0
Blind Date,1984,0.0,0.0
Bullet,1996,6.8,32.0
Claudine,1974,6.1,8.0
Dead Reckoning,1947,6.4,34.0
The Devil at 4 O'Clock,1961,6.2,13.0
Ethan Frome,1993,5.6,13.0
Gus,1976,6.8,7.0
The Harder They Come,1972,6.8,23.0
The Horse in the Gray Flannel Suit,1968,5.1,4.0
Krush Groove,1985,7.0,12.0
The Moon-Spinners,1964,6.2,10.0
Sugar Hill,1994,5.4,14.0
Chaos,2001,6.1,9.0
Biker Boyz,2003,5.0,63.0
Final Destination 2,2003,5.9,1046.0
The Recruit,2003,6.2,545.0
The Guru,2002,5.1,76.0
Kedma,2002,5.0,3.0
Lost in La Mancha,2002,7.2,63.0
May,2002,6.3,153.0
The Harder They Fall,1956,6.7,26.0
I'm All Right Jack,1959,6.9,18.0
Murder by Decree,1979,6.5,26.0
Ordinary Decent Criminal,2000,6.0,66.0
Pursued,1947,6.2,12.0
The Smallest Show on Earth,1957,7.1,6.0
Tokyo Decadence,1992,6.0,21.0
Two Way Stretch,1960,6.6,12.0
The Unfaithful Wife,1969,7.2,16.0
Victim,1961,7.0,25.0
Endangered Species,1982,6.8,4.0
The Simple-Minded Murderer,1982,7.0,12.0
Enigma,1983,5.8,5.0
Evil Under the Sun,1982,6.5,73.0
Firefox,1982,5.5,141.0
Five Days One Summer,1982,5.5,4.0
Forced Vengeance,1982,5.8,14.0
The Gendarme and the Gendarmettes,1982,6.2,89.0
The Grey Fox,1982,7.2,5.0
Hammett,1982,6.3,18.0
Honkytonk Man,1982,5.4,39.0
Human Highway,1982,5.0,6.0
"I, the Jury",1982,5.7,6.0
If You Could See What I Hear,1982,5.0,1.0
Jekyll and Hyde ... Together Again,1982,4.6,5.0
Jönssonligan & DynamitHarry,1982,5.0,13.0
Kiss Me Goodbye,1982,5.8,9.0
Labyrinth of Passion,1982,6.5,26.0
The Last American Virgin,1982,6.4,48.0
The Last Unicorn,1982,7.0,117.0
Liquid Sky,1982,6.1,22.0
Dragon Lord,1982,6.1,22.0
Making Love,1982,4.9,9.0
Manhattan Baby,1982,5.4,11.0
The Marathon Family,1982,7.8,16.0
Megaforce,1982,3.5,15.0
A Midsummer Night's Sex Comedy,1982,6.5,93.0
Missing,1982,7.2,81.0
The Missionary,1982,5.2,10.0
Monsignor,1982,4.8,4.0
Monty Python Live at the Hollywood Bowl,1982,7.2,37.0
Moonlighting,1982,7.1,6.0
Mother Lode,1982,6.5,2.0
The Night of the Shooting Stars,1982,6.3,17.0
The Night of Varennes,1982,6.4,13.0
One from the Heart,1982,5.6,20.0
Pandemonium,1982,6.0,2.0
Paradise,1982,5.6,25.0
Partners,1982,6.0,2.0
Godard's Passion,1982,5.7,11.0
Permanent Vacation,1980,6.0,28.0
Personal Best,1982,5.0,10.0
The Pirate Movie,1982,5.4,7.0
Privates on Parade,1983,4.9,7.0
Blind Chance,1987,7.7,29.0
Santa Claus Is a Stinker,1982,7.4,203.0
Q,1982,5.4,40.0
Querelle,1982,6.5,20.0
Richard Pryor: Live on the Sunset Strip,1982,7.7,22.0
Sunless,1983,7.7,49.0
Savannah Smiles,1982,5.2,7.0
The Secret Policeman's Other Ball,1982,0.0,0.0
Veronika Voss,1982,7.0,21.0
Shoot the Moon,1982,5.7,7.0
Six Pack,1982,5.8,8.0
Six Weeks,1982,5.1,4.0
The Soldier,1982,5.8,7.0
Some Kind of Hero,1982,6.4,4.0
The New York Ripper,1982,5.7,60.0
The State of Things,1982,6.2,10.0
Starstruck,1982,8.0,1.0
Still of the Night,1982,6.1,22.0
El Sur,1983,7.2,16.0
Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,6.6,7.0
Tag: The Assassination Game,1982,5.8,3.0
Tempest,1982,5.6,10.0
Tenebre,1982,6.6,107.0
They Call Me Bruce?,1982,5.2,11.0
Time Walker,1982,5.7,6.0
Trail of the Pink Panther,1982,4.9,63.0
La traviata,1982,6.6,7.0
Venom,1981,7.0,16.0
To Begin Again,1982,6.3,8.0
Die weisse Rose,1982,6.8,2.0
White Dog,1982,6.5,56.0
Who Dares Wins,1982,6.3,16.0
Wrong Is Right,1982,6.0,10.0
The Road,1982,7.1,19.0
"Yor, the Hunter from the Future",1983,3.8,8.0
Zapped!,1982,5.1,38.0
Deliver Us from Eva,2003,6.1,19.0
How to Lose a Guy in 10 Days,2003,6.3,873.0
Shanghai Knights,2003,6.0,707.0
Daredevil,2003,5.0,1551.0
The Jungle Book 2,2003,5.6,278.0
All the Real Girls,2003,5.9,30.0
Amandla! A Revolution in Four-Part Harmony,2002,8.0,3.0
Painted Fire,2002,6.6,10.0
Gerry,2002,6.1,69.0
He Loves Me... He Loves Me Not,2002,6.9,79.0
Lockdown,2000,5.6,11.0
Ordinary Sinner,2001,0.0,0.0
Dennis the Menace,1993,5.5,280.0
Stand-In,1937,7.2,3.0
10 to Midnight,1983,6.1,37.0
The Black Stallion Returns,1983,6.1,13.0
The Black Stallion,1979,7.0,59.0
Cesar and Rosalie,1972,7.0,22.0
A Countess from Hong Kong,1967,5.9,36.0
Into the West,1992,6.8,8.0
Kinjite: Forbidden Subjects,1989,4.4,12.0
Messenger of Death,1988,5.6,11.0
Mr. Majestyk,1974,7.0,32.0
Murphy's Law,1986,6.1,19.0
A Patch of Blue,1965,7.6,27.0
A Prayer for the Dying,1987,6.1,16.0
Q & A,1990,6.6,22.0
The Red Badge of Courage,1951,6.5,20.0
The Thrill of It All,1963,7.0,11.0
Pillow Talk,1959,6.8,49.0
The Man Who Fell to Earth,1976,6.4,139.0
Dark Blue,2002,6.5,86.0
Gods and Generals,2003,6.1,49.0
The Life of David Gale,2003,7.3,497.0
Old School,2003,6.6,552.0
Dischord,2001,0.0,0.0
The Lawless Heart,2002,4.3,3.0
The Navigators,2001,6.7,11.0
Open Hearts,2002,6.8,27.0
Poolhall Junkies,2002,6.5,25.0
Till Human Voices Wake Us,2002,5.4,9.0
Stone Reader,2002,7.3,3.0
Cradle 2 the Grave,2003,5.8,242.0
Spider,2002,6.4,176.0
American Heart,1992,6.2,11.0
Edie & Pen,1996,6.7,3.0
Insignificance,1985,6.2,18.0
Lady Jane,1986,6.9,22.0
Late Marriage,2001,6.0,7.0
Life Stinks,1991,5.5,48.0
The Meteor Man,1993,4.6,33.0
Mr. North,1988,4.5,3.0
Seize the Day,1986,5.8,7.0
The Slaughter Rule,2002,6.2,9.0
Teenagers from Outer Space,1959,3.9,17.0
Trouble Bound,1993,3.7,3.0
Volcano High,2001,5.6,25.0
Ten,2002,6.4,19.0
Bringing Down the House,2003,5.4,191.0
Tears of the Sun,2003,6.4,582.0
Irreversible,2002,7.1,550.0
Laurel Canyon,2002,5.7,55.0
Nowhere in Africa,2001,7.0,32.0
The Safety of Objects,2002,7.3,13.0
Bend It Like Beckham,2002,6.2,593.0
The Hunted,2003,6.0,194.0
Willard,2003,5.8,82.0
Gaudi Afternoon,2001,5.7,6.0
Prozac Nation,2001,5.7,74.0
Spun,2002,6.6,132.0
Under the Skin of the City,2001,6.5,2.0
King of Kings,1961,7.2,31.0
The Lost Honor of Katharina Blum,1975,7.2,21.0
Loving You,1957,5.2,13.0
The Talk of the Town,1942,6.4,20.0
Two-Lane Blacktop,1971,6.7,58.0
Bang the Drum Slowly,1973,6.3,13.0
The Benny Goodman Story,1956,5.9,4.0
Born Free,1966,6.5,38.0
Born Yesterday,1993,4.8,22.0
Equus,1977,6.9,31.0
Europa Europa,1990,7.3,48.0
Fear Strikes Out,1957,7.0,2.0
The Glenn Miller Story,1954,6.6,37.0
Green Card,1990,5.9,97.0
Journey to the Center of the Earth,1959,6.7,107.0
One Good Cop,1991,4.8,18.0
Pauline at the Beach,1983,7.8,22.0
Ringu,1998,6.9,310.0
Ringu 2,1999,5.4,81.0
Salaam Bombay!,1988,7.1,19.0
Sweet Charity,1969,6.5,15.0
Talent for the Game,1991,6.0,1.0
Women in Love,1969,5.9,26.0
Japón,2002,7.3,10.0
Boat Trip,2002,4.7,148.0
Dreamcatcher,2003,5.2,574.0
Piglet's Big Movie,2003,6.1,76.0
View from the Top,2003,5.0,145.0
Down & Out With The Dolls,2003,0.0,0.0
The Awful Truth,1937,7.2,48.0
The Bible: In the Beginning...,1966,6.2,34.0
The House with Laughing Windows,1976,6.9,49.0
I Am Curious (Yellow),1967,4.7,17.0
Les Dames du Bois de Boulogne,1945,7.6,18.0
My Friend Flicka,1943,3.8,2.0
The Robe,1953,6.4,43.0
Wind,1992,6.1,10.0
Unknown Pleasures,2002,6.8,11.0
Basic,2003,6.2,290.0
The Core,2003,5.5,531.0
Head of State,2003,5.3,71.0
What a Girl Wants,2003,5.8,377.0
Assassination Tango,2002,5.3,8.0
Raising Victor Vargas,2002,7.8,14.0
Stevie,2002,6.7,13.0
Dreams,1990,7.5,100.0
Day for Night,1973,8.0,100.0
Eye of God,1997,6.0,3.0
In a Lonely Place,1950,7.5,103.0
Physical Evidence,1989,4.8,12.0
Square Dance,1987,5.3,3.0
Wake of the Red Witch,1948,5.2,12.0
Winter Kills,1979,6.1,5.0
Fellini: I'm a Born Liar,2003,5.7,3.0
The Good Thief,2003,6.0,32.0
A Man Apart,2003,5.8,261.0
Phone Booth,2002,6.7,1087.0
Cet Amour-là,2001,7.0,1.0
Cowboy Bebop: The Movie,2001,7.3,174.0
DysFunktional Family,2003,6.1,4.0
Levity,2003,5.9,26.0
The Man Without a Past,2002,7.0,76.0
Anger Management,2003,5.9,937.0
Better Luck Tomorrow,2002,6.5,28.0
Ghosts of the Abyss,2003,7.1,39.0
House of 1000 Corpses,2003,6.0,310.0
Lilya 4-ever,2002,7.7,141.0
Marion Bridge,2003,6.2,6.0
XX/XY,2002,5.4,11.0
Bulletproof Monk,2003,5.2,285.0
Chasing Papi,2003,6.3,16.0
A Mighty Wind,2003,6.6,75.0
Holes,2003,6.7,396.0
Malibu's Most Wanted,2003,4.7,77.0
Winged Migration,2001,7.1,50.0
Flickering Lights,2000,7.1,49.0
Straw Dogs,1971,7.2,230.0
Beginning of the End,1957,3.9,11.0
The Andromeda Strain,1971,7.0,196.0
Brainscan,1994,6.0,58.0
Fahrenheit 451,1966,7.0,198.0
I Am Trying to Break Your Heart,2002,8.0,4.0
The Iceman Cometh,1973,5.1,7.0
Legal Eagles,1986,5.9,53.0
Married to It,1993,5.7,5.0
Memories of Me,1988,5.0,3.0
The Other Side of Heaven,2001,6.7,14.0
A Private Function,1984,5.8,12.0
Sibling Rivalry,1990,3.8,12.0
Undercover Blues,1993,6.2,47.0
Wildcats,1986,6.2,51.0
The Wiz,1978,5.8,63.0
Swords of Blood,1962,6.4,15.0
The Marrying Man,1991,5.0,17.0
My Father the Hero,1991,5.4,22.0
Scenes from a Mall,1991,4.8,22.0
Stella,1990,6.2,11.0
Confidence,2003,6.4,127.0
Identity,2003,7.1,1090.0
It Runs in the Family,2003,5.2,8.0
The Real Cancun,2003,3.3,8.0
City of Ghosts,2002,5.4,18.0
A Decade Under the Influence,2003,8.0,9.0
House of Fools,2002,5.7,9.0
Manic,2001,7.2,32.0
People I Know,2002,5.5,48.0
Spellbound,2002,7.2,43.0
The Lizzie McGuire Movie,2003,5.8,292.0
X2,2003,6.8,3572.0
Blue Car,2002,6.7,13.0
The Dancer Upstairs,2002,6.8,14.0
Marooned in Iraq,2002,8.5,2.0
Owning Mahowny,2003,6.8,37.0
Daddy Day Care,2003,5.6,526.0
Man on the Train,2002,6.9,25.0
Only the Strong Survive,2002,7.0,1.0
The Shape of Things,2003,6.4,38.0
The Trip,2002,5.4,15.0
Washington Heights,2002,8.5,3.0
101 Reykjavik,2000,6.7,34.0
A Chorus Line,1985,6.1,37.0
Absolute Beginners,1986,5.9,14.0
Beat Street,1984,6.9,21.0
Breakin' 2: Electric Boogaloo,1984,5.1,28.0
Breakin',1984,5.8,32.0
Castle in the Sky,1986,7.8,877.0
Hysterical Blindness,2002,4.9,8.0
Lambada,1990,4.6,5.0
Roadie,1980,6.8,12.0
The Carpetbaggers,1964,5.3,7.0
Les Girls,1957,6.4,11.0
Gunfight at the O.K. Corral,1957,6.9,64.0
High Society,1956,7.2,48.0
Kiss Me Kate,1953,6.8,24.0
The Matrix Reloaded,2003,6.7,3500.0
Dracula: Pages from a Virgin's Diary,2002,6.9,8.0
Down with Love,2003,6.1,202.0
Cinemania,2002,7.1,10.0
Friends and Family,2001,4.3,7.0
The Spanish Apartment,2002,7.0,276.0
Pokémon Heroes: Latios and Latias,2002,5.7,71.0
Bruce Almighty,2003,6.4,3121.0
The In-Laws,2003,5.6,68.0
Gigantic (A Tale Of Two Johns),2002,8.0,2.0
Respiro,2002,6.3,26.0
Finding Nemo,2003,7.6,6292.0
The Italian Job,2003,6.6,1949.0
Wrong Turn,2003,6.0,652.0
Capturing the Friedmans,2003,7.4,112.0
The Three Marias,2002,5.8,2.0
Together,2002,6.5,22.0
2 Fast 2 Furious,2003,6.2,2087.0
Love the Hard Way,2003,7.2,8.0
Whale Rider,2003,7.1,114.0
Nevada Smith,1966,6.9,34.0
Once a Thief,1991,6.7,28.0
Regeneration,1997,5.7,7.0
Silk Stockings,1957,6.9,15.0
Snowball Express,1972,6.3,8.0
A Man Called Horse,1970,6.6,58.0
For Sale,1998,5.5,3.0
Big Jake,1971,6.8,55.0
The Crazies,1973,6.0,67.0
Dementia 13,1963,5.4,24.0
Drole de Drame,1937,7.1,7.0
Le Mans,1971,6.7,52.0
Murder on a Sunday Morning,2001,7.7,13.0
Rio Lobo,1970,6.2,47.0
Siam Sunset,1999,6.7,6.0
The Swimmer,1968,7.4,38.0
The White Sheik,1952,7.2,29.0
Treasure Island,1950,6.9,35.0
Two Evil Eyes,1990,6.1,36.0
Walk Don't Run,1966,6.3,18.0
Animals Are Beautiful People,1974,7.5,21.0
Bend of the River,1952,6.8,30.0
Car Wash,1976,6.3,35.0
Come September,1961,6.9,14.0
Destry Rides Again,1939,6.9,39.0
The Electric Horseman,1979,5.4,35.0
Gay Purr-ee,1962,6.4,14.0
Intervista,1987,5.6,11.0
King Rat,1965,6.7,22.0
Live Wire,1992,6.0,15.0
Mr & Mrs Bridge,1990,5.3,17.0
Night Passage,1957,5.7,14.0
The Rare Breed,1966,5.7,18.0
Shenandoah,1965,6.7,33.0
Straight Talk,1992,6.0,22.0
Oscar,1991,6.2,128.0
The Sixth Man,1997,5.0,23.0
The Far Country,1955,6.5,25.0
The Railway Children,1970,7.1,25.0
Two Mules for Sister Sara,1970,6.6,129.0
Winchester '73,1950,7.5,72.0
Ziggy  Stardust and the Spiders from Mars,1973,7.6,15.0
Battle Cry,1955,5.3,9.0
The Courtship of Eddie's Father,1963,4.7,7.0
Man with a Movie Camera,1929,8.1,114.0
"Objective, Burma!",1945,6.3,16.0
Operation Pacific,1951,4.9,10.0
This Boy’s Life,1993,7.0,192.0
13 Rue Madeleine,1947,6.3,12.0
633 Squadron,1964,5.3,16.0
Attack,1956,6.8,24.0
Barton Fink,1991,7.4,450.0
Battle of Britain,1969,6.5,79.0
Belle Époque,1992,6.9,32.0
The Big Trail,1930,6.4,29.0
Cloak and Dagger,1946,6.4,12.0
The Comancheros,1961,6.4,43.0
Duel at Diablo,1966,6.3,22.0
The Flight of the Phoenix,1965,7.0,70.0
From the Terrace,1960,5.8,5.0
"Heaven Knows, Mr. Allison",1957,6.8,27.0
The Hot Rock,1972,6.7,27.0
"The Long, Hot Summer",1958,6.5,42.0
Man of Aran,1934,7.0,7.0
Music Box,1989,6.8,26.0
North to Alaska,1960,5.7,25.0
This Man Must Die,1969,7.5,22.0
Sink the Bismarck!,1960,6.7,25.0
The Blue Max,1966,6.6,29.0
The Desert Fox: The Story of Rommel,1951,6.4,22.0
The Trial,1962,7.4,80.0
The Unforgiven,1960,5.8,35.0
The Undefeated,1969,5.6,30.0
Divine Trash,1998,7.4,13.0
Good Burger,1997,5.4,113.0
Jubilee,1978,5.9,16.0
Mississippi Masala,1991,6.4,21.0
Quai des Orfèvres,1947,7.8,15.0
A Stranger Among Us,1992,5.2,22.0
Cahill U.S. Marshal,1973,5.7,33.0
Chisum,1970,6.7,49.0
Defence of the Realm,1986,6.8,10.0
Eat a Bowl of Tea,1989,3.0,2.0
Half Moon Street,1986,5.1,16.0
The Truce,1997,5.4,10.0
Opportunity Knocks,1990,5.3,16.0
Shattered,1991,6.1,32.0
The Song of Bernadette,1943,7.4,16.0
The Life and Times of Judge Roy Bean,1972,6.5,29.0
The Spirit of '76,1990,3.3,4.0
Thoroughly Modern Millie,1967,7.1,26.0
Where the Heart Is,1990,6.3,9.0
Dumb and Dumberer: When Harry Met Lloyd,2003,4.1,211.0
From Justin to Kelly,2003,3.0,23.0
Hollywood Homicide,2003,5.0,172.0
Rugrats Go Wild,2003,5.6,62.0
The Hard Word,2002,5.7,11.0
The Heart of Me,2002,7.7,5.0
Jet Lag,2002,5.7,26.0
Loco Love,2003,4.7,3.0
Manito,2002,5.5,2.0
No Turning Back,2002,0.0,0.0
Tycoon,2002,5.9,10.0
Alex & Emma,2003,5.0,71.0
On_Line,2002,6.0,1.0
Experiment in Terror,1962,6.5,26.0
Extasis,1996,6.3,4.0
Is Paris Burning?,1966,7.2,25.0
Murphy's War,1971,6.4,15.0
Orphans of the Storm,1921,6.8,20.0
The Satanic Rites of Dracula,1973,5.1,29.0
Strange Planet,1999,6.1,5.0
28 Days Later,2002,7.1,1816.0
Charlie's Angels: Full Throttle,2003,5.2,930.0
Gasoline,2001,5.4,4.0
Ed and His Dead Mother,1993,5.5,12.0
Fulltime Killer,2001,6.6,34.0
Just a Little Harmless Sex,1999,6.0,2.0
The Bank,2001,5.0,12.0
Ali: Fear Eats the Soul,1974,7.5,74.0
"Bodies, Rest & Motion",1993,4.3,8.0
Jesus,1979,8.9,8.0
The Long Ships,1964,6.0,15.0
Made for Each Other,1939,4.9,7.0
Ring of Terror,1962,1.2,5.0
You Only Live Once,1937,7.2,27.0
Anastasia,1956,6.7,31.0
The Babe,1992,5.4,46.0
Flight of the Intruder,1991,5.7,31.0
Fun with Dick and Jane,1977,6.6,13.0
Knights of the Round Table,1953,6.8,18.0
The Main Event,1979,4.8,13.0
Man's Favorite Sport?,1964,5.8,23.0
Mr. Baseball,1992,5.8,37.0
Never on Sunday,1960,6.0,14.0
Nuts,1987,6.0,25.0
Rhapsody in August,1991,6.8,33.0
Scaramouche,1952,6.9,13.0
Start the Revolution Without Me,1970,5.5,12.0
Strange Bedfellows,1965,6.8,6.0
The Tenant,1976,7.7,181.0
The Advocate,1993,5.8,8.0
Up the Sandbox,1972,7.3,2.0
"What's Up, Doc?",1972,7.3,74.0
Hulk,2003,5.3,1571.0
"Legally Blonde 2: Red, White & Blonde",2003,5.2,386.0
Sinbad: Legend of the Seven Seas,2003,6.6,386.0
Terminator 3: Rise of the Machines,2003,5.9,2177.0
Swimming Pool,2003,6.5,154.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.5,7191.0
Madame Satã,2002,5.6,9.0
The League of Extraordinary Gentlemen,2003,5.7,1181.0
The Cuckoo,2002,6.9,24.0
The Holy Land,2001,0.0,0.0
The Housekeeper,2002,6.1,8.0
I Capture the Castle,2003,7.1,26.0
Km. 0,2000,7.2,5.0
Northfork,2003,6.8,26.0
Bad Boys II,2003,6.3,1588.0
How to Deal,2003,5.7,42.0
Johnny English,2003,6.0,875.0
The Anarchist Cookbook,2002,3.8,4.0
Dirty Pretty Things,2002,6.8,135.0
L'imbalsamatore,2002,7.0,17.0
Garage Days,2002,4.9,6.0
On the Run,2002,7.0,2.0
The Sea Is Watching,2002,7.0,4.0
Born to Be Wild,1995,5.0,11.0
Curly Sue,1991,5.5,112.0
Little Giants,1994,6.0,87.0
Loose Cannons,1990,4.9,20.0
The Mouse That Roared,1959,6.9,23.0
Spencer's Mountain,1963,6.3,15.0
Masked and Anonymous,2003,5.2,13.0
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,1443.0
Seabiscuit,2003,6.8,219.0
Spy Kids 3-D: Game Over,2003,4.7,525.0
Buffalo Soldiers,2001,6.5,93.0
Camp,2003,5.6,24.0
Hotel,2001,3.5,5.0
"Lucía, Lucía",2003,6.3,4.0
Mondays in the Sun,2002,7.0,37.0
Scorched,2003,5.4,33.0
Avanti!,1972,6.8,49.0
Eve of Destruction,1991,5.1,9.0
Gator,1976,4.9,16.0
Juggernaut,1974,6.0,35.0
Kickboxer 2:  The Road Back,1991,4.2,38.0
"Kiss Me, Stupid",1964,6.7,28.0
"One, Two, Three",1961,7.6,66.0
Possible Loves,2001,6.4,6.0
The Private Life of Sherlock Holmes,1970,6.9,61.0
Remo Williams: The Adventure Begins...,1985,6.4,64.0
The Blood of Heroes,1989,5.9,32.0
"What's Up, Tiger Lily?",1966,5.6,49.0
White Lightning,1973,6.2,21.0
American Wedding,2003,6.0,1158.0
Gigli,2003,3.5,105.0
And Now... Ladies and Gentlemen...,2002,8.0,2.0
Boys Life 4: Four Play,2003,5.0,1.0
I'll Be There,2003,5.8,7.0
The Magdalene Sisters,2002,7.4,114.0
The Secret Lives of Dentists,2002,6.8,6.0
Freaky Friday,2003,6.0,919.0
Seaside,2002,2.5,2.0
S.W.A.T.,2003,5.8,780.0
Le Divorce,2003,4.8,40.0
Princess Blade,2001,5.6,9.0
Step Into Liquid,2003,7.1,17.0
Accattone,1961,7.8,49.0
The Making of '...And God Spoke',1994,5.4,5.0
Big Trouble,1986,6.3,7.0
Brain Damage,1988,6.8,54.0
A Double Life,1947,7.1,13.0
Hawks and Sparrows,1966,7.1,38.0
The Man in the Glass Booth,1975,6.7,7.0
Purpose,2002,3.5,2.0
The Red Pony,1949,5.0,7.0
Sex & the Other Man,1995,4.3,3.0
The Gospel According to Matthew,1964,7.4,54.0
The Honeymoon Killers,1970,6.7,23.0
Umberto D.,1952,8.0,92.0
Brother's Keeper,1992,7.4,14.0
The Day of the Dolphin,1973,5.4,8.0
I Love You to Death,1990,6.2,68.0
Freddy vs. Jason,2003,5.8,608.0
Grind,2003,6.1,34.0
Open Range,2003,7.0,268.0
Shaolin Soccer,2001,6.6,504.0
Uptown Girls,2003,6.1,193.0
American Splendor,2003,7.1,121.0
The Backyard,2002,9.0,2.0
Carnage,2002,7.5,2.0
Passionada,2003,6.7,5.0
Agent Cody Banks,2003,5.0,289.0
Camp Nowhere,1994,5.5,39.0
The Cemetery Club,1993,3.0,4.0
Changing Habits,1997,1.0,1.0
Hot Dog... The Movie,1984,4.4,24.0
House of Wax,1953,7.0,75.0
The Inn of the Sixth Happiness,1958,6.6,17.0
Man's Best Friend,1993,5.5,26.0
Of Unknown Origin,1983,5.9,19.0
Royal Deceit,1994,6.1,10.0
Rowing with the Wind,1988,4.2,5.0
The Rachel Papers,1989,5.5,11.0
The Sure Thing,1985,6.6,82.0
Thrashin',1986,6.5,13.0
Valley Girl,1983,6.2,61.0
Wait Until Dark,1967,7.5,112.0
Where the Rivers Flow North,1993,5.5,1.0
Code Unknown,2000,6.9,59.0
Showdown in Little Tokyo,1991,5.7,99.0
Tokyo Story,1953,8.2,190.0
The Green Ray,1986,7.4,25.0
THX 1138,1971,6.4,265.0
Valley of the Dolls,1967,6.7,30.0
The Business of Fancydancing,2002,8.0,2.0
Chunhyang,2000,6.8,12.0
Tunes of Glory,1960,7.1,14.0
Kind Hearts and Coronets,1949,7.6,109.0
Ash Wednesday,2002,5.5,14.0
Joe Kidd,1972,6.4,76.0
The Keep,1983,5.9,56.0
Atragon,1963,5.3,5.0
The Mysterians,1957,6.1,8.0
Attack of the Puppet People,1958,4.8,12.0
"The Beast from 20,000 Fathoms",1953,6.7,41.0
10,1979,5.4,69.0
Tremors,1990,6.6,882.0
The Red Shoes,1948,8.2,124.0
Me & Isaac Newton,2000,0.0,0.0
The Pink Panther,1963,6.9,246.0
The Pink Panther Strikes Again,1976,6.8,119.0
Commando,1985,6.4,753.0
Dracula,1979,6.4,49.0
The Discreet Charm of the Bourgeoisie,1972,7.4,140.0
Waco: The Rules of Engagement,1997,7.3,10.0
The Road Home,1999,7.7,52.0
Ikiru,1952,8.1,208.0
Comic Book Villains,2002,5.6,16.0
An Angel at My Table,1990,6.9,30.0
War Photographer,2001,7.3,17.0
"Ay, Carmela!",1990,6.5,11.0
War and Peace,2002,0.0,0.0
Far Away,2001,7.0,1.0
Incident at Oglala,1992,8.2,3.0
Predictions of Fire,1996,8.0,1.0
The Handmaid's Tale,1990,5.8,31.0
Revolution OS,2001,6.9,21.0
Live Nude Girls Unite!,2000,0.0,0.0
All the Little Animals,1999,5.8,11.0
Earth,1998,6.6,9.0
Fire,1996,6.0,17.0
Death in Venice,1971,7.1,78.0
Marci X,2003,3.3,12.0
The Medallion,2003,5.3,286.0
My Boss's Daughter,2003,4.4,189.0
Autumn Spring,2001,7.0,2.0
The Battle of Shaker Heights,2003,5.6,17.0
Don't Tempt Me,2001,5.9,19.0
Dust,2001,5.6,8.0
Stoked: The Rise And Fall Of Gator,2004,7.2,5.0
Venus Boyz,2002,7.0,3.0
Suddenly,2002,6.3,6.0
